Observation,Data_Marking,Statistical_Unit_Eng,Statistical_Unit_Cym,Measure_Type_Eng,Measure_Type_Cym,Oberservation_Type,Empty,Obs_Type_Value,Unit_Multiplyer,Unit_Of_Measure_Eng,Unit_Of_Measure_Cym,Confidentuality,Empty1,Geographic_Area,Empty2,Empty3,Time_Dim_Item_ID,Time_Dim_Item_Label_Eng,Time_Dim_Item_Label_Cym,Time_Type,Empty4,Statistical_Population_ID,Statistical_Population_Label_Eng,Statistical_Population_Label_Cym,CDID,CDIDDescrip,Empty5,Empty6,Empty7,Empty8,Empty9,Empty10,Empty11,Empty12,Dim_ID_1,Dimention_Label_Eng_1,Dimention_Label_Cym_1,Dim_Item_ID_1,Dimention_Item_Label_Eng_Male,Dimention_Item_Label_Cym_1,Is_Total_1,Is_Sub_Total_1,Dim_ID_2,Dimention_Label_Eng_2,Dimention_Label_Cym_2,Dim_Item_ID_2,Dimention_Item_Label_Eng_2,Dimention_Item_Label_Cym_2,Is_Total_2,Is_Sub_Total_2
128,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1A0,CPI (overall index),,0,0,,,,,,,,
140.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G10100,01.1 Food,,0,0,,,,,,,,
140,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G10200,01.2 Non-alcoholic beverages,,0,0,,,,,,,,
124,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G20100,02.1 Alcoholic beverages,,0,0,,,,,,,,
188.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G20200,02.2 Tobacco,,0,0,,,,,,,,
82.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G30100,03.1 Clothing,,0,0,,,,,,,,
83.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G30200,03.2 Footwear including repairs,,0,0,,,,,,,,
129,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G40100,04.1 Actual rentals for housing,,0,0,,,,,,,,
130.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G40300,04.3 Regular maintenance and repair of the dwelling,,0,0,,,,,,,,
150.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G40400,04.4 Water supply and misc. services for the dwelling,,0,0,,,,,,,,
212.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G40500,"04.5 Electricity , gas and other fuels",,0,0,,,,,,,,
118.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50100,"05.1 Furniture, furnishings and carpets",,0,0,,,,,,,,
96.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50200,05.2 Household textiles,,0,0,,,,,,,,
107.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50300,"05.3 Household appliances, fitting and repairs",,0,0,,,,,,,,
117.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50400,"05.4 Glassware, tableware and household utensils",,0,0,,,,,,,,
135.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50500,05.5 Tools and equipment for house and garden,,0,0,,,,,,,,
134.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G50600,05.6 Goods and services for routine maintenance,,0,0,,,,,,,,
110.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G60100,"06.1 Medical products, appliances and equipment",,0,0,,,,,,,,
