Observation,Data_Marking,Statistical_Unit_Eng,Statistical_Unit_Cym,Measure_Type_Eng,Measure_Type_Cym,Oberservation_Type,Empty,Obs_Type_Value,Unit_Multiplyer,Unit_Of_Measure_Eng,Unit_Of_Measure_Cym,Confidentuality,Empty1,Geographic_Area,Empty2,Empty3,Time_Dim_Item_ID,Time_Dim_Item_Label_Eng,Time_Dim_Item_Label_Cym,Time_Type,Empty4,Statistical_Population_ID,Statistical_Population_Label_Eng,Statistical_Population_Label_Cym,CDID,CDIDDescrip,Empty5,Empty6,Empty7,Empty8,Empty9,Empty10,Empty11,Empty12,Dim_ID_1,Dimention_Label_Eng_1,Dimention_Label_Cym_1,Dim_Item_ID_1,Dimention_Item_Label_Eng_Male,Dimention_Item_Label_Cym_1,Is_Total_1,Is_Sub_Total_1,Dim_ID_2,Dimention_Label_Eng_2,Dimention_Label_Cym_2,Dim_Item_ID_2,Dimention_Item_Label_Eng_2,Dimention_Item_Label_Cym_2,Is_Total_2,Is_Sub_Total_2
119.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1910000,910000 Goods,,0,0,,,,,,,,
145.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1911000,"911000 Food, Alcoholic Beverages & Tobacco",,0,0,,,,,,,,
140.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1911100,911100 Processed Food & Non-Alcoholic Beverages,,0,0,,,,,,,,
140.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1911200,911200 Non-processed Food,,0,0,,,,,,,,
143,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1911210,911210 Seasonal Food,,0,0,,,,,,,,
158.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1911300,911300 cpict alcohol & tobacco,,0,0,,,,,,,,
110.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912000,912000 Industrial Goods,,0,0,,,,,,,,
171.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912100,912100 Energy,,0,0,,,,,,,,
217.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912110,"912110 Electricity, Gas & Misc. Energy",,0,0,,,,,,,,
131.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912120,"912120 Liquid Fuels, Vehicle Fuels & Lubricants",,0,0,,,,,,,,
99.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912200,912200 Non-Energy Industrial Goods,,0,0,,,,,,,,
82,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912210,912210 Clothing & Footwear Goods,,0,0,,,,,,,,
122.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912220,912220 Housing Goods,,0,0,,,,,,,,
117.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912221,912221 Household goods,,0,0,,,,,,,,
144,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912222,912222 Water supply; materials for maintenance/repair,,0,0,,,,,,,,
110.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912230,"912230 Medical products, appliances and equipment",,0,0,,,,,,,,
104.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912240,"912240 Vehicles, spare parts and accessories",,0,0,,,,,,,,
83.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912250,912250 Recreational Goods,,0,0,,,,,,,,
39.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912251,912251 Audio-Visual Goods,,0,0,,,,,,,,
110.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912252,912252 Other Recreational Goods,,0,0,,,,,,,,
120.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1912260,912260 Miscellaneous Goods,,0,0,,,,,,,,
138.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1920000,920000 Services,,0,0,,,,,,,,
129.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1921000,921000 Housing Services,,0,0,,,,,,,,
129.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1921200,921200 Primary Housing Services,,0,0,,,,,,,,
128.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1921300,921300 Other Housing Services,,0,0,,,,,,,,
162.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1922000,922000 Travel & Transport Services,,0,0,,,,,,,,
138.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1922100,922100 Services for Personal Transport Equipment,,0,0,,,,,,,,
180.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1922200,922200 Transport Services,,0,0,,,,,,,,
134.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1924000,924000 Recreation & Personal Services,,0,0,,,,,,,,
127.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1924100,924100 Package Holidays & Accommodation,,0,0,,,,,,,,
136.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1924200,924200 Other Recreational & Personal Services,,0,0,,,,,,,,
135.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1924210,924210 Catering Services,,0,0,,,,,,,,
139,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1924220,924220 Non-Catering Recreational & Personal Services,,0,0,,,,,,,,
144.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1925000,925000 Miscellaneous and Other Services,,0,0,,,,,,,,
