observation,data_marking,statistical_unit_eng,measure_type_eng,obs_type_value,unit_multiplier,unit_of_measure_eng,geographic_area,time_dim_item_id,time_type,statistical_population_id,Costs,SIC,Measure,Growth Period,SA / NSA
92.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
92.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
94,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
92.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
90.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
91.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
83,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
97.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
93.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
93.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
96.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
96.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
98,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
101.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
92.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
101.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
95.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
94.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
94.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
98.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
98.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
98.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
98.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
99.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
96.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
96.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
96.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
97.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
97.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
99.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
94.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
98.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
100.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
100.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
95.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
99.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
97,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
96.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
96.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
96.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_F Construction,Count,Annual,Seasonally adjusted
97.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
97.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
96.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
97.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
96.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
97,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
94.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
97.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
99.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
99.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
97.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
99,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
95.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
95.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
96.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
95.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
97,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
96.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
100.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
97.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
90.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_K Financial & Insurance Activities,Count,Annual,Seasonally adjusted
90,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_K Financial & Insurance Activities,Count,Annual,Seasonally adjusted
89,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_K Financial & Insurance Activities,Count,Annual,Seasonally adjusted
98.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_K Financial & Insurance Activities,Count,Annual,Seasonally adjusted
91.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_L Real Estate Activities,Count,Annual,Seasonally adjusted
90.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_L Real Estate Activities,Count,Annual,Seasonally adjusted
97.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_L Real Estate Activities,Count,Annual,Seasonally adjusted
93.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_L Real Estate Activities,Count,Annual,Seasonally adjusted
97.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_M Professional, Scientific & Technical Activities",Count,Annual,Seasonally adjusted
97.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_M Professional, Scientific & Technical Activities",Count,Annual,Seasonally adjusted
97.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_M Professional, Scientific & Technical Activities",Count,Annual,Seasonally adjusted
97.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_M Professional, Scientific & Technical Activities",Count,Annual,Seasonally adjusted
96.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_N Administrative and Support Service Activities,Count,Annual,Seasonally adjusted
96.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_N Administrative and Support Service Activities,Count,Annual,Seasonally adjusted
97.1,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_N Administrative and Support Service Activities,Count,Annual,Seasonally adjusted
96.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_N Administrative and Support Service Activities,Count,Annual,Seasonally adjusted
100.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_O Public Administration,Count,Annual,Seasonally adjusted
100.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_O Public Administration,Count,Annual,Seasonally adjusted
99.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_O Public Administration,Count,Annual,Seasonally adjusted
99.7,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_O Public Administration,Count,Annual,Seasonally adjusted
98.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_P Education,Count,Annual,Seasonally adjusted
98.9,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_P Education,Count,Annual,Seasonally adjusted
97.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_P Education,Count,Annual,Seasonally adjusted
98.5,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_P Education,Count,Annual,Seasonally adjusted
98.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_Q Health and Social Work,Count,Annual,Seasonally adjusted
98.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_Q Health and Social Work,Count,Annual,Seasonally adjusted
99,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_Q Health and Social Work,Count,Annual,Seasonally adjusted
98.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_Q Health and Social Work,Count,Annual,Seasonally adjusted
101.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,"ILCH_R Arts, Entertainment and Recreation",Count,Annual,Seasonally adjusted
101.4,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,"ILCH_R Arts, Entertainment and Recreation",Count,Annual,Seasonally adjusted
100.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,"ILCH_R Arts, Entertainment and Recreation",Count,Annual,Seasonally adjusted
102.6,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_R Arts, Entertainment and Recreation",Count,Annual,Seasonally adjusted
