Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5,Dimension_Hierarchy_6,Dimension_Name_6,Dimension_Value_6,Dimension_Hierarchy_7,Dimension_Name_7,Dimension_Value_7,Dimension_Hierarchy_8,Dimension_Name_8,Dimension_Value_8,Dimension_Hierarchy_9,Dimension_Name_9,Dimension_Value_9,Dimension_Hierarchy_10,Dimension_Name_10,Dimension_Value_10
12189.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042621,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
203874.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042622,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
176372.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042623,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
86280.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042624,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
13170.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042625,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
203103.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042626,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
200997.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042627,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
39554.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042628,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
1271.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006399,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042629,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
412.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0042636,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042637,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0042620
95440.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042563,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
23277.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042564,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
19586.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042565,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
18568.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042566,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
3691.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042567,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
1957.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042568,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
1600.0,,,time,quarter,1995.Q1,2011STATH,Geographic_Hierarchy,K02000001,CL_0001577,Institutional Sector,CI_0042562,CL_0001554,Reference Area,CI_0036444,CL_0001552,Accounting Entry,CI_0006408,CL_0001578,"Stocks, Transactions, Other Flows",CI_0042569,CL_0001576,Prices,CI_0042552,CL_0001580,Expenditure by Function of Government,CI_0042556,CL_0001579,Unit of Measurement,CI_0042555,CL_0001575,Consolidation Status,CI_0036443
