Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5,Dimension_Hierarchy_6,Dimension_Name_6,Dimension_Value_6
508.2,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006603
425.8,,0.1,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006604
131.2,,0.5,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021538
218.6,,0.4,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021539
260.0,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021540
293.8,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021541
358.7,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021543
502.0,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021544
595.5,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021545
653.5,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021546
718.4,,0.1,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021547
