Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3
2,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
89,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
91,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
64,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
195,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
131,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
33,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
230,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
263,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
13,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
5,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
18,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
49,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
57,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
7,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
2,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
6,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
9,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
14,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
19,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
31,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
188,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
239,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
70,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
692,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
696,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
113,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
1267,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1381,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
11,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
106,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
118,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
50,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
133,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
84,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
22,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
200,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
222,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
4,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
8,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
12,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
64,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
13,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
7,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
2,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
5,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
24,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
19,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
15,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
33,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
68,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
279,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
48,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
578,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
548,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
154,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
943,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1097,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
